Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2013-01-31,1,,,5.769622362667439,5.42057458854033,
2013-02-28,2,,,5.769622362667439,5.42057458854033,
2013-03-31,2,,,5.769622362667439,5.42057458854033,
2013-04-30,0,,,5.769622362667439,5.42057458854033,
2013-05-31,6,,,5.769622362667439,5.42057458854033,
2013-06-30,11,,,5.769622362667439,5.42057458854033,
2013-07-31,6,,,5.769622362667439,5.42057458854033,
2013-08-31,5,,,5.769622362667439,5.42057458854033,
2013-09-30,3,,,5.769622362667439,5.42057458854033,
2013-10-31,2,3.8,-1.7999999999999998,5.769622362667439,5.42057458854033,
2013-11-30,0,3.7,-3.7,5.769622362667439,5.42057458854033,
2013-12-31,1,3.6,-2.6,5.769622362667439,5.42057458854033,
2014-01-31,7,4.1,2.9000000000000004,5.769622362667439,5.42057458854033,
2014-02-28,7,4.8,2.2,5.769622362667439,5.42057458854033,
2014-03-31,5,4.7,0.2999999999999998,5.769622362667439,5.42057458854033,
2014-04-30,4,4.0,0.0,5.769622362667439,5.42057458854033,
2014-05-31,7,4.1,2.9000000000000004,5.769622362667439,5.42057458854033,
2014-06-30,12,4.8,7.2,5.769622362667439,5.42057458854033,
2014-07-31,13,5.8,7.2,5.769622362667439,3.7683477074766394,
2014-08-31,9,6.5,2.5,5.769622362667439,3.5964334184485236,
2014-09-30,5,7.0,-2.0,5.769622362667439,3.333399999333347,
2014-10-31,6,7.5,-1.5,5.769622362667439,3.1770181687306174,
2014-11-30,4,7.2,-3.2,5.769622362667439,3.5811854027526824,
2014-12-31,4,6.9,-2.9000000000000004,5.769622362667439,3.834130351925396,
2015-01-31,2,6.6,-4.6,5.769622362667439,4.23299211223246,
2015-02-28,7,6.9,0.09999999999999964,5.769622362667439,4.2316400813133646,
2015-03-31,9,7.1,1.9000000000000004,5.769622362667439,4.181985174531349,
2015-04-30,5,6.4,-1.4000000000000004,5.769622362667439,3.467451834160386,
2015-05-31,12,6.3,5.7,5.769622362667439,3.117406329342107,
2015-06-30,12,6.6,5.4,5.769622362667439,3.538125680827822,
2015-07-31,4,6.5,-2.5,5.769622362667439,3.569002350486447,
2015-08-31,1,6.0,-5.0,5.769622362667439,3.8595480449284625,
2015-09-30,1,5.7,-4.7,5.769622362667439,3.996387257400253,
2015-10-31,5,5.8,-0.7999999999999998,5.769622362667439,3.92837257794002,
2015-11-30,6,6.2,-0.20000000000000018,5.769622362667439,3.6670454349819868,
2015-12-31,4,5.9,-1.9000000000000004,5.769622362667439,3.7062259929895154,
2016-01-31,3,5.3,-2.3,5.769622362667439,3.6606162201344077,
2016-02-29,6,5.4,0.5999999999999996,5.769622362667439,3.6769703712582613,
2016-03-31,13,5.5,7.5,5.769622362667439,4.0437743645153,
2016-04-30,9,5.2,3.8,5.769622362667439,3.814373401286829,
2016-05-31,17,6.5,10.5,5.769622362667439,5.080955728119574,17.0
2016-06-30,12,7.6,4.4,5.769622362667439,4.758255983025714,
2016-07-31,17,9.2,7.800000000000001,5.769622362667439,4.529459128858544,
2016-08-31,6,9.3,-3.3000000000000007,5.769622362667439,4.818586699207329,
2016-09-30,6,9.3,-3.3000000000000007,5.769622362667439,5.115727383927595,
2016-10-31,5,9.4,-4.4,5.769622362667439,5.401244712512519,
2016-11-30,3,9.4,-6.4,5.769622362667439,5.906832202345575,
2016-12-31,3,9.1,-6.1,5.769622362667439,6.406810612326717,
2017-01-31,4,8.2,-4.199999999999999,5.769622362667439,6.161673654310348,
2017-02-28,10,8.3,1.6999999999999993,5.769622362667439,6.047965681854428,
2017-03-31,9,7.5,1.5,5.769622362667439,4.797696206398326,
2017-04-30,7,7.0,0.0,5.769622362667439,4.410102039635818,
2017-05-31,24,7.7,16.3,5.769622362667439,6.6754608663206,24.0
2017-06-30,20,9.1,10.9,5.769622362667439,7.5432088662584444,
2017-07-31,27,11.2,15.8,5.769622362667439,8.765139283928503,
2017-08-31,17,12.4,4.6,5.769622362667439,8.432536194210298,
2017-09-30,8,12.9,-4.9,5.769622362667439,8.250010101003918,
2017-10-31,6,13.2,-7.199999999999999,5.769622362667439,8.399107095400083,
2017-11-30,6,13.4,-7.4,5.769622362667439,8.775477195001992,
2017-12-31,2,12.6,-10.6,5.769622362667439,9.800340130151946,
2018-01-31,11,12.8,-1.8000000000000007,5.769622362667439,9.87061294955891,
2018-02-28,9,13.0,-4.0,5.769622362667439,10.021205294551928,
2018-03-31,9,11.5,-2.5,5.769622362667439,8.518144033636542,
2018-04-30,7,10.2,-3.1999999999999993,5.769622362667439,7.487441337184405,
2018-05-31,23,9.8,13.2,5.769622362667439,6.810580004669207,
